科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,甘糟化学産業(株),,259600,
,愛知プラスチックス工業(株),,4144800,
,ADEKAケミカルサプライ(株),,1033861,
,(株)浅井,,186450,
,アジアンパートナーズ(株),,530721,
,イソライト工業(株),,17692432,
,浦野(株),,249480,
,荏原冷熱システム(株),,1657392,
,(株)永廣堂本店,,1082439,
,(株)エーピ,,497904,
,AGCセイミケミカル(株),,705738,
,(株)エコパウダー,,5562084,
,大宮糧食工業(株),,3413480,
,オルガノフードテック(株),,276588,
,(株)オハラ,,2222000,
,化成品商事(株),,540484,
,(株)川梅商店,,12685,
,旭東化学産業(株),,12090980,
,木田(株),,57969,
,興立化学(株),,16180,
,コウシン化学工業(株),,19993826,
,(株)ゴードー,,28331,
,(株)コバヤシ,,535980,
,コロナ工業(株),,601490,
,三求化学工業(株),,483300,
,(株)境,,343364,
,サンエム化成(株),,3712170,
,三精産業(株),,137500,
,ジェイ・システィン(株),,774345,
小計,,,78843573,
