科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,愛知プラスチックス工業(株),,"2,626,800",
,ADEKAケミカルサプライ(株),,"1,497,249",
,(株)浅井,,"20,240",
,アジアンパートナーズ(株),,"807,025",
,イソライト工業(株),,"4,882,044",
,(株)アクトコーポレーション,,"27,060",
,井関産業(株),,"586,432",
,浦野(株),,"85,800",
,荏原冷熱システム(株),,"1,021,592",
,(株)永廣堂,,"1,302,070",
,AGCセイミケミカル(株),,"303,277",
,(株)エコパウダー,,"3,752,277",
,大宮糧食工業(株),,"4,090,209",
,オルガノフードテック(株),,"368,226",
,(株)オハラ,,"5,022,600",
,化成品商事(株),,"970,623",
,(株)川梅商店,,"12,685",
,旭東化学産業(株),,"9,577,528",
,木田(株),,"3,499",
,コウシン化学工業(株),,"30,631,072",
,(株)ゴードー,,"28,100",
,(株)コバヤシ,,"559,553",
,コロナ工業(株),,"1,077,400",
,三求化学工業(株),,"388,800",
,(株)境,,"226,765",
,サンエム化成(株),,"3,293,620",
,三精産業(株),,"55,000",
,埼玉薬品(株),,"67,966",
,昭栄興産(株),,"1,407,799",
小計,,,"74,693,311",
