"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"敷金","(有)サンヨー不動産","広島県府中市鵜飼町589-7","338000",""
"","(株)JR東日本土地開発","東京都渋谷区代々木2-2-2","3142000",""
"","ミドリ安全ホールディング(株)","神奈川県横浜市北区新横浜2-11-16","6500000",""
"","(株)プリンスホテル","東京都豊島区南池袋1-16-15","1980000","品川プリンスホテル"
"","(有)生稲","東京都渋谷区神宮前6-18-3","4625400","キャットストリート店"
"","(株)大丸不動産","東京都足立区綾瀬3-5-14","74000","真邊社宅"
"","(株)エヌ・ピー・アール","東京都台東区上野1-1-8","80000","中塚社宅"
"","大和リビング(株)","東京都足立区南花畑1-2-4","38880","小倉社宅"
"敷金計","","","16778280",""
"保証金","ヤマトデータベース(協)","奈良県奈良市二条大路南2-1-13","176604","Cカード"
"","","","382795",""
"保証金計","","","559399",""
"","","","15094041","通算税効果額"
"計","","","15094041",""
"計","","","336835714",""
