"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","ルネサスエレクトトロニクス(株)","","784698570",""
"〃","MOST","","79290367",""
"〃","ソニーセミコンダクタソリューションズ","","79208070",""
"〃","三信電気(株)","","77050408",""
"〃","マイクロンメモリジャパン(同)","","22880000",""
"〃","ホシデン(株)","","7276236",""
"〃","住友電工オプティフロンティア","","5807637",""
"〃","YITOAマイクロテクノロジー(株)","","5652905",""
"〃","(株)Asue","","5085374",""
"〃","ヌヴォトンテクノロジージャパン","","4564153",""
"〃","ウエルストン電子工業(株)","","3884212",""
"〃","VIAVISOLUTIONS","","3493200",""
"〃","コーデンシ(株)","","3462504",""
"〃","LandMarkOptoelectro","","1390920",""
"〃","(株)ニコン","","1191267",""
"〃","日本電計(株)(日本電気","","1045000",""
"〃","IGNITE(株)","","990000",""
"〃","(株)マイスティア","","898568",""
"〃","セーレンKST(株)","","584100",""
"〃","その他","","1547302",""
"計","","","1090000793",""
