科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,中央建設(株),,93825695,
売掛金,(株)合田工務店,,72685864,
売掛金,住協建設(株),,58597000,
売掛金,ライト工業,,55283808,
兎掛金,コーナン建設(株),,42823000,
売掛金,(株)東映建工,,37164488,
売掛金,(株)第一ヒューテック,,36652800,
尭掛金,三信住建,,31295000,
売掛金,早野組,,22000000,
売掛金,東京建築技術,,20003500,
売掛金,大須賀技建,,19857750,
売掛金,FUJIKEN,,16763492,
売掛金冗掛金,スターツCAM,,15400000,
売掛金,NCM,,13629000,
売掛金,(株)守谷商会,,13301750,
売掛金,日本建設(株),,9012410,
売掛金,(株)片山組,,8837100,
売掛金,松下産業,,8701000,
売掛金,似鳥工務店,,7621900,
売掛金,ファーストコーポレーション,,5401000,
売掛金,(株)大明建設,,4777400,
売掛金,松永建設,,4492400,
売掛金,(株)三浦工務店,,4290000,
売掛金,宇佐美組,,3454000,
売掛金,杉本興業,,3245000,
売掛金,ビラハウジング,,2863000,
計,,,,
