"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","高松建設(株)","東京都千代田区神田美土台町1番地ダイヤルイン","11913426",""
"〃","株式会社興建","川崎市中原区今井仲町2番2号","9130000",""
"〃","","","660000",""
"〃","","","5523000",""
"〃","(株)八木工務店","川崎市高津区久末2065番地6","4430933",""
"〃","(株)ケイエスピー","渋谷区恵比寿南","3922700",""
"〃","三和建設工業(株)","東京都足立区東和2丁目13番15号","4070000",""
"〃","橋本塗装","","1208520",""
"〃","その他","","2037100",""
"計","","","42895679",""
"未収入金","居住者","","314000","6月分家賃"
"〃","東京電力","","131218",""
"〃","コカコーラ他","","30273","販売機手数料7月"
"計","","","475491",""
"計","","","43371170",""
