"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","PETTREATSLTD","タイ488/8Moo2.SoiK1ong1umbangpee.Bangp1ee-TamruRoad.","18136716",""
"〃","(株)関戸商事②東京営業所(中国)","東京都中央区八丁堀3丁目22番13号PMO八丁堀5F","1725601",""
"〃","前田水産","大阪市大正区南恩加島3丁目12-25","1339094",""
"〃","その他","","20276659",""
"計","","","320694159",""
"未収入金","(株)R&D","愛知県瀬戸市銀杏木町74番地","24396475","機械割賦売却代金"
"〃","(有)大同産業","泉南郡熊取町小谷南3-13-11","1046298",""
"〃","(株)ヤマショク","尼崎市西昆陽3丁目40番1号","1850000","貸付金利息延滞金"
"〃","泉佐野税務署","","8115095","未収還付消費税"
"計","","","35407868",""
"未収利息","青島彩正有限公司","中国山東省青島市平度市南村鎮西南街村","4621408","貸付金利息"
"計","","","4621408",""
